yaw_delta,pitch_delta,target_yaw,target_pitch,since_attack,distance,on_ground,delta_x,delta_y,delta_z,target_velocity_x,target_velocity_y,target_velocity_z,player_velocity_x,player_velocity_y,player_velocity_z,yaw,pitch
-2.682354,-8.621052,-52.503323,32.017521,0.864000,1.417712,0.000000,0.953700,-0.751640,0.731710,0.057625,0.419875,-0.191500,-0.181355,0.083078,0.215949,-49.820969,40.638573
-7.843681,-14.754498,-70.100891,25.791267,0.960000,1.244189,0.000000,1.053362,-0.541342,0.381293,0.057625,0.419875,-0.191500,-0.163045,0.003016,0.220089,-62.257210,40.545765
-13.247238,-21.069639,-88.961456,17.434355,1.000000,1.214792,0.000000,1.158796,-0.363965,0.021006,0.115500,0.164750,-0.090125,-0.159164,-0.075444,0.220802,-75.714218,38.503994
-14.228012,-24.909977,-104.048889,7.375896,1.000000,1.302421,0.000000,1.253009,-0.167202,-0.313547,0.115500,0.164750,-0.090125,-0.144839,-0.152335,0.200929,-89.820877,32.285873
-1.098068,-22.364485,-114.956055,-1.586731,0.096000,1.475850,0.000000,1.337539,0.040867,-0.622456,0.115500,0.164750,-0.090125,-0.131804,-0.227688,0.182846,-113.857986,20.777754
19.029007,-24.840790,-122.949661,-10.930798,0.192000,1.710153,0.000000,1.409034,0.324289,-0.913282,0.115500,0.164750,-0.090125,-0.119941,-0.301535,0.166390,-141.978668,13.909992
16.735039,-28.920856,-127.006920,-15.474902,0.288000,1.940243,0.000000,1.493235,0.517692,-1.125516,0.115500,0.164750,-0.090125,-0.111357,-0.373904,0.133349,-143.741959,13.445953
14.704483,-37.815960,-129.594299,-21.028927,0.384000,2.183332,0.000000,1.570373,0.783465,-1.298864,0.072000,-0.227625,-0.056250,-0.104930,-0.444826,0.097963,-144.298782,16.787033
12.941727,-36.921444,-130.707428,-16.236485,0.480000,2.301629,1.000000,1.675162,0.643539,-1.441244,0.072000,-0.227625,-0.056250,-0.099308,-0.078400,0.065797,-143.649155,20.684959
14.594360,-23.717569,-124.693008,1.050932,0.576000,2.054674,0.000000,1.689098,-0.037683,-1.169279,0.176500,0.419875,-0.170000,-0.009979,0.333200,-0.186755,-139.287369,24.768501
10.804115,-19.675720,-121.430138,8.805092,0.672000,2.341010,0.000000,1.973986,-0.358348,-1.206356,0.176500,0.419875,-0.170000,-0.010849,0.248136,-0.193541,-132.234253,28.480812
6.643639,-18.360434,-118.723053,12.997419,0.768000,2.640827,0.000000,2.256546,-0.593949,-1.236604,0.176500,0.419875,-0.170000,-0.008730,0.164773,-0.199754,-125.366692,31.357853
0.703072,-22.105938,-115.754150,11.108070,0.864000,2.910697,0.000000,2.572453,-0.560778,-1.241035,0.176500,0.419875,-0.170000,-0.003984,0.083078,-0.205103,-116.457222,33.214008
-8.180305,-24.656677,-113.315094,8.093291,0.960000,3.167306,0.000000,2.879698,-0.445911,-1.241101,0.176500,0.419875,-0.170000,0.003900,0.003016,-0.209075,-105.134789,32.749969
-11.772202,-20.889629,-110.874596,5.085379,1.000000,3.388421,0.000000,3.153551,-0.300345,-1.202627,0.176500,0.419875,-0.170000,0.003549,-0.075444,-0.190258,-99.102394,25.975008
-8.360237,-15.674154,-109.040321,1.205702,1.000000,3.626946,0.000000,3.427754,-0.076318,-1.182969,0.176500,0.419875,-0.170000,0.003229,-0.152335,-0.173135,-100.680084,16.879856
1.114914,-12.184981,-107.175323,-1.523230,1.000000,3.816777,0.000000,3.645283,0.101456,-1.126678,0.176500,0.419875,-0.170000,0.002939,-0.227688,-0.157553,-108.290237,10.661752
